species,reproductive.mode,Genus,Family,female.SVL,hatchling.neonate.SVL,female.log,hatch.log,intercept,slope,female_mass,hatchling_mass,femass.log,hatcmass.log,rawFem,rawHatc,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time,foraging.mode,diet,Binomial
Acanthocercus_atricollis,Oviparous,Acanthocercus,Agamidae,113.9,34,2.1,1.5,-4.686,3.105,349,100.9,1.7,0.07,50.06,1.17,17,1,11.4,11.4,30.28,-9.53,Diurnal,sit and wait,Carnivorous,Acanthocercus_atricollis
Acanthodactylus_beershebensis,Oviparous,Acanthodactylus,Lacertidae,64.9,25,1.8,1.4,-4.543,2.951,187,69.2,0.8,-0.42,6.38,0.38,8,3,5,4.8,34.83,31.17,Diurnal,widely foraging,Carnivorous,Acanthodactylus_beershebensis
Acanthodactylus_boskianus,Oviparous,Acanthodactylus,Lacertidae,60.1,26.5,1.8,1.4,-4.543,2.951,172.8,73.7,0.7,-0.34,5.09,0.45,8,1,6,2.6,19.84,23.35,Diurnal,widely foraging,Carnivorous,Acanthodactylus_boskianus
Acanthodactylus_erythrurus,Oviparous,Acanthodactylus,Lacertidae,68.6,29,1.8,1.5,-4.543,2.951,197.9,81,0.9,-0.23,7.52,0.59,8,1,4.4,3,-3.2,37.24,Diurnal,mixed,Carnivorous,Acanthodactylus_erythrurus
Acanthodactylus_pardalis,Oviparous,Acanthodactylus,Lacertidae,61,30,1.8,1.5,-4.543,2.951,175.5,84,0.7,-0.18,5.32,0.65,7,2,4.8,2.5,25.1,31.05,Diurnal,sit and wait,Carnivorous,Acanthodactylus_pardalis
Acanthodactylus_schreiberi,Oviparous,Acanthodactylus,Lacertidae,69.4,35.8,1.8,1.6,-4.543,2.951,200.3,101.1,0.9,0.04,7.78,1.10,8,1,3,2.6,33.23,35.05,Diurnal,widely foraging,Carnivorous,Acanthodactylus_schreiberi
Acanthodactylus_scutellatus,Oviparous,Acanthodactylus,Lacertidae,52.6,24.3,1.7,1.4,-4.543,2.951,150.7,67.2,0.5,-0.45,3.43,0.35,6,1,3.3,2.5,12.9,23.81,Diurnal,mixed,Carnivorous,Acanthodactylus_scutellatus
Acontias_gariepensis,Viviparous,Acontias,Scincidae,121.5,65.3,2.1,1.8,-5.125,3.229,387.2,205.7,1.6,0.74,40.37,5.44,1,1,1,1,20.34,-26.61,Nocturnal,widely foraging,Carnivorous,Acontias_gariepensis
Aeluroscalabotes_felinus,Oviparous,Aeluroscalabotes,Eublepharidae,109.9,47,2.0,1.7,-5.201,3.255,352.5,147.8,1.4,0.24,27.70,1.74,2,1,2,2,113.98,2.79,Nocturnal,sit and wait,Carnivorous,Aeluroscalabotes_felinus
Agama_aculeata,Oviparous,Agama,Agamidae,85.4,27,1.9,1.4,-4.686,3.105,260.5,79.1,1.3,-0.24,20.47,0.57,18,8,14,11.5,22.57,-18.89,Diurnal,sit and wait,Omnivorous,Agama_aculeata
